 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.5000;
     1    0.009               1               1               0          0.5000;
     2    0.018               5               5               0          0.5000;
     3    0.027              12              12               0          0.5000;
     4    0.035              22              22               1          0.5000;
     5    0.044              35              35               3          0.5000;
     6    0.053              50              50               6          0.5000;
     7    0.062              67              67              11          0.5000;
     8    0.071              85              85              19          0.5000;
     9    0.080             105             105              29          0.5000;
    10    0.089             124             124              43          0.5000;
    11    0.097             145             145              60          0.5000;
    12    0.106             165             165              81          0.5000;
    13    0.115             185             185             105          0.5000;
    14    0.124             206             206             133          0.5000;
    15    0.133             226             226             163          0.5000;
    16    0.142             248             248             195          0.5000;
    17    0.151             271             271             229          0.5000;
    18    0.159             295             295             264          0.5000;
    19    0.168             320             320             300          0.5000;
    20    0.177             347             347             335          0.5000;
    21    0.186             375             375             370          0.5000;
    22    0.195             403             403             404          0.5000;
    23    0.204             433             433             438          0.5000;
    24    0.213             464             464             469          0.5000;
    25    0.221             495             495             500          0.5000;
    26    0.230             527             527             529          0.5000;
    27    0.239             559             559             558          0.5000;
    28    0.248             594             594             585          0.5000;
    29    0.257             629             629             611          0.5000;
    30    0.266             664             664             637          0.5000;
    31    0.274             700             700             664          0.5000;
    32    0.283             736             736             691          0.5000;
    33    0.292             772             772             719          0.5000;
    34    0.301             807             807             748          0.5000;
    35    0.310             843             843             780          0.5000;
    36    0.319             879             879             813          0.5000;
    37    0.328             913             913             848          0.5000;
    38    0.336             947             947             886          0.5000;
    39    0.345             982             982             925          0.5000;
    40    0.354            1017            1017             967          0.5000;
    41    0.363            1053            1053            1009          0.5000;
    42    0.372            1090            1090            1053          0.5000;
    43    0.381            1129            1129            1097          0.5000;
    44    0.390            1171            1171            1142          0.5000;
    45    0.398            1214            1214            1188          0.5000;
    46    0.407            1258            1258            1233          0.5000;
    47    0.416            1305            1305            1279          0.5000;
    48    0.425            1353            1353            1324          0.5000;
    49    0.434            1404            1404            1371          0.5000;
    50    0.443            1457            1457            1418          0.5000;
    51    0.452            1513            1513            1465          0.5000;
    52    0.460            1572            1572            1514          0.5000;
    53    0.469            1633            1633            1565          0.5000;
    54    0.478            1697            1697            1618          0.5000;
    55    0.487            1762            1762            1673          0.5000;
    56    0.496            1828            1828            1732          0.5000;
    57    0.505            1895            1895            1795          0.5000;
    58    0.514            1963            1963            1861          0.5000;
    59    0.522            2033            2033            1931          0.5000;
    60    0.531            2104            2104            2005          0.5000;
    61    0.540            2177            2177            2082          0.5000;
    62    0.549            2250            2250            2163          0.5000;
    63    0.558            2323            2323            2247          0.5000;
    64    0.567            2397            2397            2334          0.5000;
    65    0.576            2472            2472            2422          0.5000;
    66    0.584            2549            2549            2512          0.5000;
    67    0.593            2627            2627            2604          0.5000;
    68    0.602            2707            2707            2695          0.5000;
    69    0.611            2789            2789            2785          0.5000;
    70    0.620            2872            2872            2875          0.5000;
    71    0.629            2956            2956            2964          0.5000;
    72    0.638            3043            3043            3052          0.5000;
    73    0.646            3132            3132            3138          0.5000;
    74    0.655            3221            3221            3223          0.5000;
    75    0.664            3311            3311            3307          0.5000;
    76    0.673            3403            3403            3390          0.5000;
    77    0.682            3495            3495            3473          0.5000;
    78    0.691            3589            3589            3556          0.5000;
    79    0.699            3682            3682            3639          0.5000;
    80    0.708            3777            3777            3724          0.5000;
    81    0.717            3873            3873            3810          0.5000;
    82    0.726            3970            3970            3899          0.5000;
    83    0.735            4068            4068            3990          0.5000;
    84    0.744            4168            4168            4083          0.5000;
    85    0.753            4269            4269            4180          0.5000;
    86    0.761            4373            4373            4280          0.5000;
    87    0.770            4478            4478            4384          0.5000;
    88    0.779            4585            4585            4492          0.5000;
    89    0.788            4693            4693            4602          0.5000;
    90    0.797            4803            4803            4717          0.5000;
    91    0.806            4914            4914            4834          0.5000;
    92    0.815            5025            5025            4954          0.5000;
    93    0.823            5138            5138            5077          0.5000;
    94    0.832            5251            5251            5201          0.5000;
    95    0.841            5366            5366            5327          0.5000;
    96    0.850            5481            5481            5453          0.5000;
    97    0.859            5596            5596            5580          0.5000;
    98    0.868            5712            5712            5706          0.5000;
    99    0.877            5829            5829            5832          0.5000;
   100    0.885            5946            5946            5956          0.5000;
   101    0.894            6063            6063            6078          0.5000;
   102    0.903            6183            6183            6198          0.5000;
   103    0.912            6304            6304            6317          0.5000;
   104    0.921            6426            6426            6433          0.5000;
   105    0.930            6550            6550            6548          0.5000;
   106    0.939            6677            6677            6661          0.5000;
   107    0.947            6805            6805            6773          0.5000;
   108    0.956            6936            6936            6886          0.5000;
   109    0.965            7069            7069            6999          0.5000;
   110    0.974            7204            7204            7115          0.5000;
   111    0.983            7341            7341            7233          0.5000;
   112    0.992            7478            7478            7356          0.5000;
   113    1.001            7617            7617            7482          0.5000;
   114    1.009            7754            7754            7613          0.5000;
   115    1.018            7891            7891            7749          0.5000;
   116    1.027            8026            8026            7891          0.5000;
   117    1.036            8160            8160            8037          0.5000;
   118    1.045            8293            8293            8187          0.5000;
   119    1.054            8425            8425            8340          0.5000;
   120    1.063            8556            8556            8496          0.5000;
   121    1.071            8687            8687            8653          0.5000;
   122    1.080            8818            8818            8810          0.5000;
   123    1.089            8951            8951            8965          0.5000;
   124    1.098            9086            9086            9118          0.5000;
   125    1.107            9225            9225            9267          0.5000;
   126    1.116            9367            9367            9412          0.5000;
   127    1.124            9514            9514            9554          0.5000;
   128    1.133            9667            9667            9691          0.5000;
   129    1.142            9823            9823            9826          0.5000;
   130    1.151            9984            9984            9958          0.5000;
   131    1.160           10149           10149           10089          0.5000;
   132    1.169           10315           10315           10222          0.5000;
   133    1.178           10481           10481           10357          0.5000;
   134    1.186           10647           10647           10496          0.5000;
   135    1.195           10811           10811           10640          0.5000;
   136    1.204           10972           10972           10790          0.5000;
   137    1.213           11130           11130           10947          0.5000;
   138    1.222           11285           11285           11111          0.5000;
   139    1.231           11435           11435           11281          0.5000;
   140    1.240           11584           11584           11456          0.5000;
   141    1.248           11731           11731           11635          0.5000;
   142    1.257           11877           11877           11816          0.5000;
   143    1.266           12025           12025           11998          0.5000;
   144    1.275           12174           12174           12180          0.5000;
   145    1.284           12328           12328           12360          0.5000;
   146    1.293           12486           12486           12536          0.5000;
   147    1.302           12650           12650           12708          0.5000;
   148    1.310           12819           12819           12875          0.5000;
   149    1.319           12993           12993           13037          0.5000;
   150    1.328           13170           13170           13196          0.5000;
   151    1.337           13351           13351           13351          0.5000;
   152    1.346           13533           13533           13505          0.5000;
   153    1.355           13715           13715           13659          0.5000;
   154    1.364           13898           13898           13814          0.5000;
   155    1.372           14079           14079           13971          0.5000;
   156    1.381           14259           14259           14132          0.5000;
   157    1.390           14437           14437           14297          0.5000;
   158    1.399           14614           14614           14468          0.5000;
   159    1.408           14789           14789           14645          0.5000;
   160    1.417           14965           14965           14826          0.5000;
   161    1.426           15141           15141           15013          0.5000;
   162    1.434           15318           15318           15205          0.5000;
   163    1.443           15496           15496           15401          0.5000;
   164    1.452           15675           15675           15600          0.5000;
   165    1.461           15855           15855           15803          0.5000;
   166    1.470           16037           16037           16006          0.5000;
   167    1.479           16219           16219           16209          0.5000;
   168    1.488           16402           16402           16412          0.5000;
