 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.0000;
     1    0.009               0               2               0          0.5000;
     2    0.018               5               8               0          0.5000;
     3    0.027              14              18               1          0.5000;
     4    0.035              26              32               2          0.5000;
     5    0.044              42              48               5          0.5000;
     6    0.053              60              68               9          0.5000;
     7    0.062              80              88              17          0.5000;
     8    0.071             101             110              27          0.5000;
     9    0.080             122             131              41          0.5000;
    10    0.089             144             153              59          0.5000;
    11    0.097             167             176              81          0.5000;
    12    0.106             190             200             107          0.5000;
    13    0.115             214             224             137          0.5000;
    14    0.124             240             250             170          0.5000;
    15    0.133             266             277             206          0.5000;
    16    0.142             294             306             246          0.5000;
    17    0.151             323             335             287          0.5000;
    18    0.159             353             365             329          0.5000;
    19    0.168             384             397             373          0.5000;
    20    0.177             417             430             417          0.5000;
    21    0.186             451             465             460          0.5000;
    22    0.195             487             502             503          0.5000;
    23    0.204             524             540             546          0.5000;
    24    0.213             563             579             587          0.5000;
    25    0.221             604             621             626          0.5000;
    26    0.230             646             663             665          0.5000;
    27    0.239             690             708             703          0.5000;
    28    0.248             735             754             741          0.5000;
    29    0.257             782             802             778          0.5000;
    30    0.266             831             850             815          0.5000;
    31    0.274             880             900             854          0.5000;
    32    0.283             929             948             894          0.5000;
    33    0.292             977             996             936          0.5000;
    34    0.301            1024            1043             980          0.5000;
    35    0.310            1071            1090            1027          0.5000;
    36    0.319            1117            1136            1075          0.5000;
    37    0.328            1163            1181            1126          0.5000;
    38    0.336            1208            1226            1179          0.5000;
    39    0.345            1253            1271            1234          0.5000;
    40    0.354            1298            1316            1289          0.5000;
    41    0.363            1343            1361            1346          0.5000;
    42    0.372            1389            1407            1402          0.5000;
    43    0.381            1435            1453            1458          0.5000;
    44    0.390            1482            1501            1513          0.5000;
    45    0.398            1531            1551            1567          0.5000;
    46    0.407            1583            1604            1620          0.5000;
    47    0.416            1638            1660            1671          0.5000;
    48    0.425            1695            1719            1722          0.5000;
    49    0.434            1755            1780            1771          0.5000;
    50    0.443            1817            1843            1821          0.5000;
    51    0.452            1882            1909            1870          0.5000;
    52    0.460            1949            1977            1922          0.5000;
    53    0.469            2019            2048            1975          0.5000;
    54    0.478            2091            2121            2031          0.5000;
    55    0.487            2166            2196            2091          0.5000;
    56    0.496            2241            2271            2155          0.5000;
    57    0.505            2317            2348            2225          0.5000;
    58    0.514            2394            2425            2300          0.5000;
    59    0.522            2471            2503            2380          0.5000;
    60    0.531            2550            2581            2466          0.5000;
    61    0.540            2628            2660            2557          0.5000;
    62    0.549            2708            2740            2653          0.5000;
    63    0.558            2788            2821            2752          0.5000;
    64    0.567            2869            2901            2854          0.5000;
    65    0.576            2951            2984            2959          0.5000;
    66    0.584            3034            3068            3064          0.5000;
    67    0.593            3119            3154            3169          0.5000;
    68    0.602            3207            3242            3273          0.5000;
    69    0.611            3296            3332            3375          0.5000;
    70    0.620            3388            3425            3475          0.5000;
    71    0.629            3482            3520            3572          0.5000;
    72    0.638            3578            3618            3666          0.5000;
    73    0.646            3677            3716            3758          0.5000;
    74    0.655            3776            3817            3847          0.5000;
    75    0.664            3878            3919            3935          0.5000;
    76    0.673            3980            4022            4022          0.5000;
    77    0.682            4084            4126            4108          0.5000;
    78    0.691            4188            4230            4195          0.5000;
    79    0.699            4294            4336            4283          0.5000;
    80    0.708            4400            4443            4374          0.5000;
    81    0.717            4507            4550            4467          0.5000;
    82    0.726            4614            4658            4565          0.5000;
    83    0.735            4723            4766            4666          0.5000;
    84    0.744            4832            4876            4772          0.5000;
    85    0.753            4943            4987            4882          0.5000;
    86    0.761            5054            5099            4998          0.5000;
    87    0.770            5166            5211            5117          0.5000;
    88    0.779            5280            5325            5240          0.5000;
    89    0.788            5394            5440            5368          0.5000;
    90    0.797            5509            5555            5499          0.5000;
    91    0.806            5625            5672            5632          0.5000;
    92    0.815            5743            5790            5767          0.5000;
    93    0.823            5861            5909            5902          0.5000;
    94    0.832            5981            6030            6037          0.5000;
    95    0.841            6103            6152            6172          0.5000;
    96    0.850            6226            6276            6306          0.5000;
    97    0.859            6352            6402            6437          0.5000;
    98    0.868            6478            6530            6566          0.5000;
    99    0.877            6607            6659            6694          0.5000;
   100    0.885            6738            6791            6818          0.5000;
   101    0.894            6871            6925            6941          0.5000;
   102    0.903            7006            7061            7063          0.5000;
   103    0.912            7144            7200            7184          0.5000;
   104    0.921            7284            7341            7306          0.5000;
   105    0.930            7428            7486            7428          0.5000;
   106    0.939            7574            7633            7553          0.5000;
   107    0.947            7722            7781            7681          0.5000;
   108    0.956            7871            7931            7813          0.5000;
   109    0.965            8022            8082            7950          0.5000;
   110    0.974            8172            8232            8093          0.5000;
   111    0.983            8322            8381            8242          0.5000;
   112    0.992            8470            8528            8396          0.5000;
   113    1.001            8616            8673            8555          0.5000;
   114    1.009            8759            8816            8720          0.5000;
   115    1.018            8902            8958            8888          0.5000;
   116    1.027            9043            9099            9058          0.5000;
   117    1.036            9183            9239            9230          0.5000;
   118    1.045            9323            9380            9401          0.5000;
   119    1.054            9465            9522            9570          0.5000;
   120    1.063            9608            9666            9735          0.5000;
   121    1.071            9755            9815            9896          0.5000;
   122    1.080            9906            9968           10051          0.5000;
   123    1.089           10062           10126           10202          0.5000;
   124    1.098           10223           10289           10348          0.5000;
   125    1.107           10389           10457           10490          0.5000;
   126    1.116           10559           10628           10629          0.5000;
   127    1.124           10733           10803           10767          0.5000;
   128    1.133           10909           10980           10906          0.5000;
   129    1.142           11086           11156           11046          0.5000;
   130    1.151           11262           11332           11190          0.5000;
   131    1.160           11436           11504           11340          0.5000;
   132    1.169           11607           11675           11496          0.5000;
   133    1.178           11775           11841           11659          0.5000;
   134    1.186           11939           12004           11829          0.5000;
   135    1.195           12101           12165           12006          0.5000;
   136    1.204           12260           12323           12189          0.5000;
   137    1.213           12418           12481           12377          0.5000;
   138    1.222           12576           12639           12569          0.5000;
   139    1.231           12735           12800           12762          0.5000;
   140    1.240           12898           12963           12955          0.5000;
   141    1.248           13063           13130           13147          0.5000;
   142    1.257           13232           13302           13337          0.5000;
   143    1.266           13406           13476           13524          0.5000;
   144    1.275           13584           13656           13706          0.5000;
   145    1.284           13764           13838           13885          0.5000;
   146    1.293           13948           14022           14059          0.5000;
   147    1.302           14133           14208           14230          0.5000;
   148    1.310           14320           14395           14398          0.5000;
   149    1.319           14507           14582           14565          0.5000;
   150    1.328           14695           14770           14730          0.5000;
   151    1.337           14882           14957           14896          0.5000;
   152    1.346           15070           15144           15064          0.5000;
   153    1.355           15257           15332           15234          0.5000;
   154    1.364           15444           15520           15407          0.5000;
   155    1.372           15633           15708           15584          0.5000;
   156    1.381           15822           15897           15766          0.5000;
   157    1.390           16011           16086           15952          0.5000;
   158    1.399           16199           16274           16144          0.5000;
   159    1.408           16386           16460           16340          0.5000;
   160    1.417           16571           16645           16541          0.5000;
   161    1.426           16755           16828           16747          0.5000;
   162    1.434           16937           17010           16954          0.5000;
   163    1.443           17118           17190           17164          0.5000;
   164    1.452           17298           17371           17375          0.5000;
   165    1.461           17479           17552           17583          0.5000;
   166    1.470           17663           17737           17791          0.5000;
   167    1.479           17849           17924           17994          0.5000;
   168    1.488           18039           18117           18193          0.5000;
   169    1.496           18235           18314           18388          0.5000;
   170    1.505           18435           18516           18580          0.5000;
   171    1.514           18640           18724           18767          0.5000;
   172    1.523           18850           18934           18953          0.5000;
   173    1.532           19062           19147           19137          0.5000;
   174    1.541           19276           19361           19322          0.5000;
   175    1.549           19489           19574           19508          0.5000;
   176    1.558           19701           19784           19697          0.5000;
   177    1.567           19910           19993           19890          0.5000;
   178    1.576           20117           20200           20088          0.5000;
   179    1.585           20322           20403           20292          0.5000;
   180    1.594           20526           20607           20500          0.5000;
   181    1.603           20728           20810           20714          0.5000;
   182    1.611           20931           21012           20931          0.5000;
   183    1.620           21135           21216           21154          0.5000;
   184    1.629           21339           21421           21378          0.5000;
   185    1.638           21544           21627           21604          0.5000;
   186    1.647           21750           21833           21832          0.5000;
   187    1.656           21957           22040           22060          0.5000;
   188    1.665           22166           22250           22287          0.5000;
   189    1.673           22375           22460           22512          0.5000;
   190    1.682           22586           22671           22735          0.5000;
   191    1.691           22799           22884           22954          0.5000;
   192    1.700           23014           23100           23171          0.5000;
