 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000              -7              -7               1          0.0000;
     1    0.009              -6              -6               1          0.5000;
     2    0.018              -4              -2               0          0.5000;
     3    0.027               2               5              -0          0.5000;
     4    0.035              12              16              -1          0.5000;
     5    0.044              24              29              -1          0.5000;
     6    0.053              40              44              -1          0.5000;
     7    0.062              56              62               0          0.5000;
     8    0.071              75              80               0          0.5000;
     9    0.080              94             100               1          0.5000;
    10    0.089             113             118               1          0.5000;
    11    0.097             132             137               2          0.5000;
    12    0.106             149             154               2          0.5000;
    13    0.115             165             170               2          0.5000;
    14    0.124             179             183               2          0.5000;
    15    0.133             191             194               3          0.5000;
    16    0.142             201             204               3          0.5000;
    17    0.151             210             212               4          0.5000;
    18    0.159             217             218               4          0.5000;
    19    0.168             222             223               3          0.5000;
    20    0.177             225             226               3          0.5000;
    21    0.186             227             227               3          0.5000;
    22    0.195             226             226               3          0.5000;
    23    0.204             223             223               3          0.5000;
    24    0.213             220             219               3          0.5000;
    25    0.221             215             213               2          0.5000;
    26    0.230             209             207               2          0.5000;
    27    0.239             202             200               1          0.5000;
    28    0.248             195             193               0          0.5000;
    29    0.257             187             185              -1          0.5000;
    30    0.266             180             178              -2          0.5000;
    31    0.274             173             171              -2          0.5000;
    32    0.283             165             163              -2          0.5000;
    33    0.292             159             157              -3          0.5000;
    34    0.301             151             149              -4          0.5000;
    35    0.310             144             142              -5          0.5000;
    36    0.319             137             135              -6          0.5000;
    37    0.328             130             128              -7          0.5000;
    38    0.336             123             122              -7          0.5000;
    39    0.345             118             117              -8          0.5000;
    40    0.354             114             113              -8          0.5000;
    41    0.363             110             109              -9          0.5000;
    42    0.372             108             107              -9          0.5000;
    43    0.381             107             106             -10          0.5000;
    44    0.390             106             108             -11          0.5000;
    45    0.398             108             108             -12          0.5000;
    46    0.407             110             111             -12          0.5000;
    47    0.416             113             114             -12          0.5000;
    48    0.425             116             118             -10          0.5000;
    49    0.434             120             121              -9          0.5000;
    50    0.443             123             124              -9          0.5000;
    51    0.452             126             127              -9          0.5000;
    52    0.460             129             130              -9          0.5000;
    53    0.469             132             132              -9          0.5000;
    54    0.478             134             134             -10          0.5000;
    55    0.487             135             135             -10          0.5000;
    56    0.496             135             136             -10          0.5000;
    57    0.505             135             135             -10          0.5000;
    58    0.514             134             134             -10          0.5000;
    59    0.522             133             132             -10          0.5000;
    60    0.531             131             130             -10          0.5000;
    61    0.540             129             128             -10          0.5000;
    62    0.549             127             126             -10          0.5000;
    63    0.558             125             124             -11          0.5000;
    64    0.567             123             123             -11          0.5000;
    65    0.576             122             121             -12          0.5000;
    66    0.584             121             121             -13          0.5000;
    67    0.593             120             120             -13          0.5000;
    68    0.602             120             120             -14          0.5000;
    69    0.611             120             120             -14          0.5000;
    70    0.620             122             122             -14          0.5000;
    71    0.629             122             122             -14          0.5000;
    72    0.638             123             124             -14          0.5000;
    73    0.646             124             125             -15          0.5000;
    74    0.655             126             126             -16          0.5000;
    75    0.664             126             126             -17          0.5000;
    76    0.673             127             127             -18          0.5000;
    77    0.682             127             127             -19          0.5000;
    78    0.691             127             127             -20          0.5000;
    79    0.699             126             126             -21          0.5000;
    80    0.708             125             125             -22          0.5000;
    81    0.717             123             123             -23          0.5000;
    82    0.726             123             122             -23          0.5000;
    83    0.735             121             121             -23          0.5000;
    84    0.744             120             120             -23          0.5000;
    85    0.753             119             119             -23          0.5000;
    86    0.761             119             119             -24          0.5000;
    87    0.770             118             118             -25          0.5000;
    88    0.779             118             118             -25          0.5000;
    89    0.788             118             118             -25          0.5000;
    90    0.797             120             120             -23          0.5000;
    91    0.806             120             120             -23          0.5000;
    92    0.815             120             120             -22          0.5000;
    93    0.823             121             122             -22          0.5000;
    94    0.832             122             122             -22          0.5000;
    95    0.841             123             123             -22          0.5000;
    96    0.850             123             123             -22          0.5000;
    97    0.859             124             124             -21          0.5000;
    98    0.868             124             124             -20          0.5000;
    99    0.877             124             124             -20          0.5000;
   100    0.885             123             123             -19          0.5000;
   101    0.894             123             123             -18          0.5000;
   102    0.903             122             122             -18          0.5000;
   103    0.912             122             121             -17          0.5000;
   104    0.921             121             121             -17          0.5000;
   105    0.930             121             121             -17          0.5000;
   106    0.939             121             121             -16          0.5000;
   107    0.947             121             121             -16          0.5000;
   108    0.956             121             123             -16          0.5000;
   109    0.965             123             123             -16          0.5000;
   110    0.974             123             123             -16          0.5000;
   111    0.983             123             124             -15          0.5000;
   112    0.992             124             124             -14          0.5000;
   113    1.001             124             124             -14          0.5000;
   114    1.009             124             124             -14          0.5000;
   115    1.018             124             124             -14          0.5000;
   116    1.027             125             124             -13          0.5000;
   117    1.036             124             124             -12          0.5000;
   118    1.045             124             124             -12          0.5000;
   119    1.054             124             124             -12          0.5000;
   120    1.063             124             124             -11          0.5000;
   121    1.071             124             124             -11          0.5000;
   122    1.080             124             124             -10          0.5000;
   123    1.089             124             124             -10          0.5000;
   124    1.098             124             124              -9          0.5000;
   125    1.107             124             124              -8          0.5000;
   126    1.116             125             125              -8          0.5000;
   127    1.124             125             125              -8          0.5000;
   128    1.133             125             125              -8          0.5000;
   129    1.142             126             126              -8          0.5000;
   130    1.151             126             126              -7          0.5000;
   131    1.160             126             126              -7          0.5000;
   132    1.169             126             126              -6          0.5000;
   133    1.178             126             126              -5          0.5000;
   134    1.186             126             126              -5          0.5000;
   135    1.195             126             126              -5          0.5000;
   136    1.204             126             126              -5          0.5000;
   137    1.213             126             126              -5          0.5000;
   138    1.222             126             126              -5          0.5000;
   139    1.231             126             126              -5          0.5000;
   140    1.240             126             126              -4          0.5000;
   141    1.248             126             126              -4          0.5000;
   142    1.257             126             126              -3          0.5000;
   143    1.266             126             126              -3          0.5000;
   144    1.275             126             126              -3          0.5000;
   145    1.284             126             126              -3          0.5000;
   146    1.293             126             126              -3          0.5000;
   147    1.302             126             126              -3          0.5000;
   148    1.310             126             126              -4          0.5000;
   149    1.319             126             126              -4          0.5000;
   150    1.328             126             126              -4          0.5000;
   151    1.337             126             126              -3          0.5000;
   152    1.346             126             126              -3          0.5000;
   153    1.355             126             126              -3          0.5000;
   154    1.364             127             127              -4          0.5000;
   155    1.372             127             127              -4          0.5000;
   156    1.381             127             127              -5          0.5000;
   157    1.390             127             127              -5          0.5000;
   158    1.399             127             126              -6          0.5000;
   159    1.408             126             126              -6          0.5000;
   160    1.417             126             126              -6          0.5000;
   161    1.426             126             126              -6          0.5000;
   162    1.434             126             126              -6          0.5000;
   163    1.443             126             126              -6          0.5000;
   164    1.452             126             126              -6          0.5000;
   165    1.461             126             126              -7          0.5000;
   166    1.470             126             126              -7          0.5000;
   167    1.479             126             126              -8          0.5000;
   168    1.488             126             126              -8          0.5000;
   169    1.496             126             126              -8          0.5000;
   170    1.505             126             126              -6          0.5000;
   171    1.514             126             126              -6          0.5000;
   172    1.523             126             126              -6          0.5000;
   173    1.532             126             126              -6          0.5000;
   174    1.541             126             126              -6          0.5000;
   175    1.549             126             126              -6          0.5000;
   176    1.558             126             126              -6          0.5000;
   177    1.567             126             127              -6          0.5000;
   178    1.576             127             127              -6          0.5000;
   179    1.585             127             127              -6          0.5000;
   180    1.594             127             127              -6          0.5000;
   181    1.603             127             127              -7          0.5000;
   182    1.611             127             126              -7          0.5000;
   183    1.620             126             126              -7          0.5000;
   184    1.629             126             126              -7          0.5000;
   185    1.638             126             126              -7          0.5000;
   186    1.647             126             126              -7          0.5000;
   187    1.656             126             126              -7          0.5000;
   188    1.665             126             126              -7          0.5000;
   189    1.673             126             126              -7          0.5000;
   190    1.682             126             126              -7          0.5000;
   191    1.691             126             126              -6          0.5000;
   192    1.700             126             126              -6          0.5000;
   193    1.709             126             126              -7          0.5000;
   194    1.718             126             127              -8          0.5000;
   195    1.727             127             127              -8          0.5000;
   196    1.735             127             127              -9          0.5000;
   197    1.744             126             126             -10          0.5000;
   198    1.753             126             126             -11          0.5000;
   199    1.762             126             126             -12          0.5000;
   200    1.771             126             126             -12          0.5000;
   201    1.780             125             125             -12          0.5000;
   202    1.789             125             125             -13          0.5000;
   203    1.797             124             124             -13          0.5000;
   204    1.806             123             123             -13          0.5000;
   205    1.815             123             123             -14          0.5000;
   206    1.824             123             123             -14          0.5000;
   207    1.833             123             123             -14          0.5000;
   208    1.842             123             123             -14          0.5000;
   209    1.851             125             125             -13          0.5000;
   210    1.859             125             125             -13          0.5000;
   211    1.868             125             125             -12          0.5000;
   212    1.877             125             125             -11          0.5000;
   213    1.886             125             126             -11          0.5000;
   214    1.895             126             126             -11          0.5000;
   215    1.904             126             126             -12          0.5000;
   216    1.913             126             126             -12          0.5000;
   217    1.921             126             126             -12          0.5000;
   218    1.930             126             126             -11          0.5000;
   219    1.939             125             125             -11          0.5000;
   220    1.948             125             125             -10          0.5000;
   221    1.957             125             125             -10          0.5000;
   222    1.966             125             125             -10          0.5000;
   223    1.974             125             125             -10          0.5000;
   224    1.983             125             125             -10          0.5000;
   225    1.992             125             125             -10          0.5000;
   226    2.001             126             126             -10          0.5000;
   227    2.010             125             125             -10          0.0000;
   228    2.019             122             121             -10          0.0000;
   229    2.028             117             115             -10          0.0000;
   230    2.036             108             105             -10          0.0000;
   231    2.045              97              93             -10          0.0000;
   232    2.054              83              79             -11          0.0000;
   233    2.063              68              63             -11          0.0000;
   234    2.072              51              46             -12          0.0000;
   235    2.081              33              27             -13          0.0000;
   236    2.090              15               9             -14          0.0000;
   237    2.098              -4              -9             -14          0.0000;
   238    2.107             -22             -27             -16          0.0000;
   239    2.116             -40             -45             -17          0.0000;
   240    2.125             -56             -61             -18          0.0000;
   241    2.134             -71             -75             -18          0.0000;
   242    2.143             -83             -87             -18          0.0000;
   243    2.152             -93             -96             -18          0.0000;
   244    2.160            -101            -103             -18          0.0000;
   245    2.169            -107            -108             -18          0.0000;
   246    2.178            -109            -110             -19          0.0000;
   247    2.187            -110            -109             -19          0.0000;
   248    2.196            -106            -106             -18          0.0000;
   249    2.205            -102            -100             -18          0.0000;
   250    2.214             -95             -93             -17          0.0000;
   251    2.222             -87             -84             -17          0.0000;
   252    2.231             -78             -75             -17          0.0000;
   253    2.240             -68             -65             -17          0.0000;
   254    2.249             -58             -54             -18          0.0000;
   255    2.258             -48             -44             -18          0.0000;
   256    2.267             -37             -34             -17          0.0000;
   257    2.276             -28             -25             -16          0.0000;
   258    2.284             -19             -17             -16          0.0000;
   259    2.293             -12             -10             -15          0.0000;
   260    2.302              -6              -4             -15          0.0000;
   261    2.311              -1               0             -15          0.0000;
   262    2.320               2               3             -15          0.0000;
   263    2.329               4               4             -15          0.0000;
   264    2.338               4               4             -16          0.0000;
   265    2.346               3               2             -16          0.0000;
   266    2.355              -1              -1             -17          0.0000;
   267    2.364              -5              -6             -17          0.0000;
   268    2.373              -9             -11             -16          0.0000;
   269    2.382             -15             -16             -16          0.0000;
   270    2.391             -20             -22             -16          0.0000;
   271    2.399             -26             -27             -16          0.0000;
   272    2.408             -31             -33             -17          0.0000;
   273    2.417             -36             -37             -17          0.0000;
   274    2.426             -41             -42             -18          0.0000;
   275    2.435             -44             -45             -19          0.0000;
   276    2.444             -47             -48             -20          0.0000;
   277    2.453             -49             -49             -20          0.0000;
   278    2.461             -50             -50             -18          0.0000;
   279    2.470             -51             -51             -18          0.0000;
   280    2.479             -50             -49             -18          0.0000;
   281    2.488             -48             -47             -18          0.0000;
   282    2.497             -46             -45             -18          0.0000;
   283    2.506             -43             -42             -18          0.0000;
   284    2.515             -40             -39             -18          0.0000;
   285    2.523             -37             -36             -18          0.0000;
   286    2.532             -34             -34             -18          0.0000;
   287    2.541             -32             -32             -18          0.0000;
   288    2.550             -30             -30             -18          0.0000;
   289    2.559             -29             -29             -17          0.0000;
   290    2.568             -28             -28             -17          0.0000;
   291    2.577             -28             -28             -18          0.0000;
   292    2.585             -28             -28             -18          0.0000;
   293    2.594             -30             -30             -18          0.0000;
   294    2.603             -31             -31             -18          0.0000;
   295    2.612             -33             -33             -18          0.0000;
   296    2.621             -34             -35             -18          0.0000;
   297    2.630             -36             -36             -18          0.0000;
   298    2.639             -37             -38             -18          0.0000;
   299    2.647             -38             -39             -18          0.0000;
   300    2.656             -39             -39             -18          0.0000;
   301    2.665             -40             -40             -18          0.0000;
   302    2.674             -40             -40             -18          0.0000;
   303    2.683             -39             -39             -18          0.0000;
   304    2.692             -39             -39             -18          0.0000;
   305    2.701             -38             -37             -18          0.0000;
   306    2.709             -36             -36             -18          0.0000;
   307    2.718             -36             -35             -18          0.0000;
   308    2.727             -34             -34             -17          0.0000;
   309    2.736             -34             -33             -17          0.0000;
   310    2.745             -33             -33             -17          0.0000;
   311    2.754             -33             -32             -17          0.0000;
   312    2.763             -32             -32             -18          0.0000;
   313    2.771             -34             -34             -18          0.0000;
   314    2.780             -34             -34             -18          0.0000;
   315    2.789             -34             -35             -18          0.0000;
   316    2.798             -35             -35             -18          0.0000;
   317    2.807             -36             -37             -18          0.0000;
   318    2.816             -37             -37             -18          0.0000;
   319    2.824             -37             -38             -18          0.0000;
   320    2.833             -38             -38             -18          0.0000;
   321    2.842             -38             -38             -18          0.0000;
   322    2.851             -38             -38             -18          0.0000;
   323    2.860             -38             -38             -18          0.0000;
   324    2.869             -37             -37             -18          0.0000;
   325    2.878             -37             -37             -18          0.0000;
   326    2.886             -36             -36             -18          0.0000;
   327    2.895             -35             -35             -18          0.0000;
   328    2.904             -34             -34             -18          0.0000;
   329    2.913             -34             -34             -17          0.0000;
   330    2.922             -34             -34             -17          0.0000;
   331    2.931             -34             -34             -17          0.0000;
   332    2.940             -34             -34             -17          0.0000;
   333    2.948             -34             -34             -18          0.0000;
   334    2.957             -36             -36             -18          0.0000;
   335    2.966             -36             -36             -18          0.0000;
   336    2.975             -36             -37             -18          0.0000;
   337    2.984             -37             -37             -18          0.0000;
   338    2.993             -37             -37             -18          0.0000;
   339    3.002             -37             -37             -18          0.0000;
   340    3.010             -37             -37             -18          0.0000;
   341    3.019             -37             -37             -18          0.0000;
   342    3.028             -37             -37             -18          0.0000;
   343    3.037             -37             -37             -18          0.0000;
   344    3.046             -37             -36             -18          0.0000;
