 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.0000;
     1    0.009               1               2               0          0.5000;
     2    0.018               5               6               0          0.5000;
     3    0.027              13              14               0          0.5000;
     4    0.035              25              26               1          0.5000;
     5    0.044              39              41               4          0.5000;
     6    0.053              56              58               7          0.5000;
     7    0.062              75              76              13          0.5000;
     8    0.071              94              96              22          0.5000;
     9    0.080             116             118              34          0.5000;
    10    0.089             138             140              49          0.5000;
    11    0.097             161             164              68          0.5000;
    12    0.106             185             188              92          0.5000;
    13    0.115             210             212             119          0.5000;
    14    0.124             236             238             150          0.5000;
    15    0.133             262             265             185          0.5000;
    16    0.142             289             292             223          0.5000;
    17    0.151             318             320             264          0.5000;
    18    0.159             347             350             306          0.5000;
    19    0.168             377             380             350          0.5000;
    20    0.177             409             412             394          0.5000;
    21    0.186             443             446             439          0.5000;
    22    0.195             479             482             483          0.5000;
    23    0.204             516             519             525          0.5000;
    24    0.213             554             558             567          0.5000;
    25    0.221             594             599             607          0.5000;
    26    0.230             636             640             646          0.5000;
    27    0.239             680             684             683          0.5000;
    28    0.248             724             729             720          0.5000;
    29    0.257             771             775             756          0.5000;
    30    0.266             818             822             792          0.5000;
    31    0.274             865             869             828          0.5000;
    32    0.283             911             915             865          0.5000;
    33    0.292             956             960             904          0.5000;
    34    0.301             999            1004             944          0.5000;
    35    0.310            1043            1047             986          0.5000;
    36    0.319            1086            1090            1030          0.5000;
    37    0.328            1127            1132            1076          0.5000;
    38    0.336            1168            1172            1123          0.5000;
    39    0.345            1209            1213            1172          0.5000;
    40    0.354            1249            1253            1221          0.5000;
    41    0.363            1290            1294            1271          0.5000;
    42    0.372            1330            1334            1320          0.5000;
    43    0.381            1370            1374            1370          0.5000;
    44    0.390            1411            1415            1418          0.5000;
    45    0.398            1453            1458            1465          0.5000;
    46    0.407            1497            1502            1512          0.5000;
    47    0.416            1543            1548            1556          0.5000;
    48    0.425            1592            1596            1599          0.5000;
    49    0.434            1642            1647            1641          0.5000;
    50    0.443            1694            1699            1682          0.5000;
    51    0.452            1748            1753            1723          0.5000;
    52    0.460            1803            1808            1764          0.5000;
    53    0.469            1859            1864            1807          0.5000;
    54    0.478            1916            1922            1851          0.5000;
    55    0.487            1975            1981            1898          0.5000;
    56    0.496            2036            2042            1947          0.5000;
    57    0.505            2098            2104            2000          0.5000;
    58    0.514            2160            2167            2057          0.5000;
    59    0.522            2224            2230            2119          0.5000;
    60    0.531            2287            2294            2184          0.5000;
    61    0.540            2352            2358            2254          0.5000;
    62    0.549            2417            2424            2328          0.5000;
    63    0.558            2484            2491            2406          0.5000;
    64    0.567            2552            2559            2486          0.5000;
    65    0.576            2622            2629            2569          0.5000;
    66    0.584            2694            2701            2654          0.5000;
    67    0.593            2766            2773            2741          0.5000;
    68    0.602            2839            2847            2828          0.5000;
    69    0.611            2916            2923            2914          0.5000;
    70    0.620            2994            3002            3000          0.5000;
    71    0.629            3075            3084            3086          0.5000;
    72    0.638            3158            3167            3171          0.5000;
    73    0.646            3242            3251            3255          0.5000;
    74    0.655            3328            3336            3337          0.5000;
    75    0.664            3415            3423            3420          0.5000;
    76    0.673            3503            3512            3501          0.5000;
    77    0.682            3593            3602            3583          0.5000;
    78    0.691            3682            3691            3664          0.5000;
    79    0.699            3772            3781            3747          0.5000;
    80    0.708            3862            3871            3830          0.5000;
    81    0.717            3952            3961            3915          0.5000;
    82    0.726            4043            4052            4001          0.5000;
    83    0.735            4133            4142            4090          0.5000;
    84    0.744            4224            4233            4180          0.5000;
    85    0.753            4316            4326            4273          0.5000;
    86    0.761            4410            4419            4368          0.5000;
    87    0.770            4504            4514            4464          0.5000;
    88    0.779            4602            4611            4563          0.5000;
    89    0.788            4701            4711            4663          0.5000;
    90    0.797            4804            4814            4766          0.5000;
    91    0.806            4909            4919            4871          0.5000;
    92    0.815            5016            5027            4977          0.5000;
    93    0.823            5126            5138            5085          0.5000;
    94    0.832            5239            5250            5196          0.5000;
    95    0.841            5354            5365            5309          0.5000;
    96    0.850            5470            5481            5425          0.5000;
    97    0.859            5586            5598            5543          0.5000;
    98    0.868            5705            5716            5664          0.5000;
    99    0.877            5824            5836            5787          0.5000;
   100    0.885            5942            5954            5912          0.5000;
   101    0.894            6061            6073            6040          0.5000;
   102    0.903            6180            6192            6168          0.5000;
   103    0.912            6299            6311            6297          0.5000;
   104    0.921            6418            6430            6427          0.5000;
   105    0.930            6538            6550            6557          0.5000;
   106    0.939            6658            6670            6686          0.5000;
   107    0.947            6780            6792            6814          0.5000;
   108    0.956            6903            6916            6941          0.5000;
   109    0.965            7029            7042            7067          0.5000;
   110    0.974            7158            7171            7191          0.5000;
   111    0.983            7290            7304            7314          0.5000;
   112    0.992            7426            7440            7437          0.5000;
   113    1.001            7565            7579            7559          0.5000;
   114    1.009            7707            7721            7682          0.5000;
   115    1.018            7851            7866            7806          0.5000;
   116    1.027            7997            8011            7933          0.5000;
   117    1.036            8143            8158            8064          0.5000;
   118    1.045            8290            8304            8199          0.5000;
   119    1.054            8436            8450            8339          0.5000;
   120    1.063            8581            8595            8483          0.5000;
   121    1.071            8724            8738            8633          0.5000;
   122    1.080            8867            8881            8788          0.5000;
   123    1.089            9008            9022            8947          0.5000;
   124    1.098            9148            9162            9109          0.5000;
   125    1.107            9288            9302            9274          0.5000;
   126    1.116            9428            9443            9439          0.5000;
   127    1.124            9570            9585            9604          0.5000;
   128    1.133            9715            9730            9768          0.5000;
   129    1.142            9864            9879            9930          0.5000;
   130    1.151           10017           10032           10089          0.5000;
   131    1.160           10175           10191           10244          0.5000;
   132    1.169           10339           10355           10397          0.5000;
   133    1.178           10507           10524           10548          0.5000;
   134    1.186           10679           10697           10697          0.5000;
   135    1.195           10854           10872           10845          0.5000;
   136    1.204           11030           11048           10993          0.5000;
   137    1.213           11207           11224           11144          0.5000;
   138    1.222           11382           11399           11298          0.5000;
   139    1.231           11555           11572           11456          0.5000;
   140    1.240           11726           11742           11619          0.5000;
   141    1.248           11893           11910           11787          0.5000;
   142    1.257           12059           12075           11960          0.5000;
   143    1.266           12222           12238           12137          0.5000;
   144    1.275           12384           12401           12319          0.5000;
   145    1.284           12547           12563           12504          0.5000;
   146    1.293           12711           12727           12690          0.5000;
   147    1.302           12876           12893           12877          0.5000;
   148    1.310           13045           13062           13064          0.5000;
   149    1.319           13217           13234           13249          0.5000;
   150    1.328           13392           13410           13433          0.5000;
   151    1.337           13570           13588           13615          0.5000;
   152    1.346           13751           13770           13794          0.5000;
   153    1.355           13934           13952           13970          0.5000;
   154    1.364           14118           14136           14144          0.5000;
   155    1.372           14303           14321           14317          0.5000;
   156    1.381           14488           14506           14488          0.5000;
   157    1.390           14673           14692           14658          0.5000;
   158    1.399           14859           14878           14829          0.5000;
   159    1.408           15045           15064           15001          0.5000;
   160    1.417           15232           15251           15175          0.5000;
   161    1.426           15420           15439           15350          0.5000;
   162    1.434           15610           15629           15528          0.5000;
   163    1.443           15801           15820           15710          0.5000;
   164    1.452           15992           16012           15895          0.5000;
   165    1.461           16184           16203           16085          0.5000;
   166    1.470           16374           16393           16279          0.5000;
   167    1.479           16563           16582           16476          0.5000;
   168    1.488           16751           16769           16677          0.5000;
   169    1.496           16937           16955           16881          0.5000;
   170    1.505           17121           17139           17086          0.5000;
   171    1.514           17304           17322           17293          0.5000;
   172    1.523           17487           17505           17499          0.5000;
   173    1.532           17670           17688           17704          0.5000;
   174    1.541           17855           17874           17907          0.5000;
   175    1.549           18044           18063           18107          0.5000;
   176    1.558           18237           18257           18303          0.5000;
   177    1.567           18434           18454           18495          0.5000;
   178    1.576           18636           18657           18685          0.5000;
   179    1.585           18842           18862           18872          0.5000;
   180    1.594           19048           19070           19057          0.5000;
   181    1.603           19257           19278           19241          0.5000;
   182    1.611           19465           19486           19427          0.5000;
   183    1.620           19673           19694           19615          0.5000;
   184    1.629           19879           19899           19805          0.5000;
   185    1.638           20083           20103           19999          0.5000;
   186    1.647           20286           20307           20198          0.5000;
   187    1.656           20488           20509           20401          0.5000;
   188    1.665           20690           20711           20608          0.5000;
   189    1.673           20893           20913           20820          0.5000;
   190    1.682           21096           21117           21036          0.5000;
   191    1.691           21301           21321           21256          0.5000;
   192    1.700           21506           21527           21478          0.5000;
