 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort
    69    0.611              -1               0          0.0000;
    70    0.620              -1               0          0.0000;
    71    0.629              -1               0          0.0000;
    72    0.638              -1               0          0.0000;
    73    0.646              -1               0          0.0000;
    74    0.655              -1               0          0.0000;
    75    0.664              -1               0          0.0000;
    76    0.673              -1               0          0.0000;
    77    0.682              -1               0          0.0000;
    78    0.691              -1               0          0.0000;
    79    0.699              -1               0          0.0000;
    80    0.708              -1               0          0.0000;
    81    0.717              -1               0          0.0000;
    82    0.726              -1               0          0.0000;
    83    0.735              -1               0          0.0000;
    84    0.744              -1               0          0.0000;
    85    0.753              -1               0          0.0000;
    86    0.761              -1               0          0.0000;
    87    0.770              -1               0          0.0000;
    88    0.779              -1               0          0.0000;
    89    0.788              -1               0          0.0000;
    90    0.797              -1               0          0.0000;
    91    0.806              -1               0          0.0000;
    92    0.815              -1               0          0.0000;
    93    0.823              -1               0          0.0000;
    94    0.832              -1               0          0.0000;
    95    0.841              -1               0          0.0000;
    96    0.850              -1               0          0.0000;
    97    0.859              -1               0          0.0000;
    98    0.868              -1               0          0.0000;
    99    0.877              -1               0          0.0000;
   100    0.885              -1               0          0.0000;
   101    0.894              -1               0          0.0000;
   102    0.903              -1               0          0.0000;
   103    0.912              -1               0          0.0000;
   104    0.921              -1               0          0.0000;
   105    0.930              -1               0          0.0000;
   106    0.939              -1               0          0.0000;
   107    0.947              -1               0          0.0000;
   108    0.956              -1               0          0.0000;
   109    0.965              -1               0          0.0000;
   110    0.974              -1               0          0.0000;
   111    0.983              -1               0          0.0000;
   112    0.992              -1               0          0.0000;
   113    1.001              -1               0          0.0000;
   114    1.009              -1               0          0.0000;
   115    1.018              -1               0          0.0000;
   116    1.027              -1               0          0.0000;
   117    1.036              -1               0          0.0000;
   118    1.045              -1               0          0.0000;
   119    1.054              -1               0          0.0000;
   120    1.063              -1               0          0.0000;
   121    1.071              -1               0          0.0000;
   122    1.080              -1               0          0.0000;
   123    1.089              -1               0          0.0000;
   124    1.098              -1               0          0.0000;
   125    1.107              -1               0          0.0000;
   126    1.116              -1               0          0.0000;
   127    1.124              -1               0          0.0000;
   128    1.133              -1               0          0.0000;
   129    1.142              -1               0          0.0000;
   130    1.151              -1               0          0.0000;
   131    1.160              -1               0          0.0000;
   132    1.169              -1               0          0.0000;
   133    1.178              -1               0          0.0000;
   134    1.186              -1               0          0.0000;
   135    1.195              -1               0          0.0000;
   136    1.204              -1               0          0.0000;
   137    1.213              -1               0          0.0000;
   138    1.222              -1               0          0.0000;
   139    1.231              -1               0          0.0000;
   140    1.240              -1               0          0.0000;
   141    1.248              -1               0          0.0000;
   142    1.257              -1               0          0.0000;
   143    1.266              -1               0          0.0000;
   144    1.275              -1               0          0.0000;
   145    1.284              -1               0          0.0000;
   146    1.293              -1               0          0.0000;
   147    1.302              -1               0          0.0000;
   148    1.310              -1               0          0.0000;
   149    1.319              -1               0          0.0000;
   150    1.328              -1               0          0.0000;
   151    1.337              -1               0          0.0000;
   152    1.346              -1               0          0.0000;
   153    1.355              -1               0          0.0000;
   154    1.364              -1               0          0.0000;
   155    1.372              -1               0          0.0000;
   156    1.381              -1               0          0.0000;
   157    1.390              -1               0          0.0000;
   158    1.399              -1               0          0.0000;
   159    1.408              -1               0          0.0000;
   160    1.417              -1               0          0.0000;
   161    1.426              -1               0          0.0000;
   162    1.434              -1               0          0.0000;
   163    1.443              -1               0          0.0000;
   164    1.452              -1               0          0.0000;
   165    1.461              -1               0          0.0000;
   166    1.470              -1               0          0.0000;
   167    1.479              -1               0          0.0000;
   168    1.488              -1               0          0.0000;
   169    1.496              -1               0          0.0000;
   170    1.505              -1               0          0.0000;
   171    1.514              -1               0          0.0000;
   172    1.523              -1               0          0.0000;
   173    1.532              -1               0          0.0000;
   174    1.541              -1               0          0.0000;
   175    1.549              -1               0          0.0000;
   176    1.558              -1               0          0.0000;
   177    1.567              -1               0          0.0000;
   178    1.576              -1               0          0.0000;
   179    1.585              -1               0          0.0000;
   180    1.594              -1               0          0.0000;
   181    1.603              -1               0          0.0000;
   182    1.611              -1               0          0.0000;
   183    1.620              -1               0          0.0000;
   184    1.629              -1               0          0.0000;
   185    1.638              -1               0          0.0000;
   186    1.647              -1               0          0.0000;
   187    1.656              -1               0          0.0000;
   188    1.665              -1               0          0.0000;
   189    1.673              -1               0          0.0000;
   190    1.682              -1               0          0.0000;
   191    1.691              -1               0          0.0000;
   192    1.700              -1               0          0.0000;
   193    1.709              -1               0          0.0000;
   194    1.718              -1               0          0.0000;
   195    1.727              -1               0          0.0000;
   196    1.735              -1               0          0.0000;
   197    1.744              -1               0          0.0000;
   198    1.753              -1               0          0.0000;
   199    1.762              -1               0          0.0000;
   200    1.771              -1               0          0.0000;
   201    1.780              -1               0          0.0000;
   202    1.789              -1               0          0.0000;
   203    1.797              -1               0          0.0000;
   204    1.806              -1               0          0.0000;
   205    1.815              -1               0          0.0000;
   206    1.824              -1               0          0.0000;
   207    1.833              -1               0          0.0000;
   208    1.842              -1               0          0.0000;
   209    1.851              -1               0          0.0000;
   210    1.859              -1               0          0.0000;
   211    1.868              -1               0          0.0000;
   212    1.877              -1               0          0.0000;
   213    1.886              -1               0          0.0000;
   214    1.895              -1               0          0.0000;
   215    1.904              -1               0          0.0000;
   216    1.913              -1               0          0.0000;
   217    1.921              -1               0          0.0000;
   218    1.930              -1               0          0.0000;
   219    1.939              -1               0          0.0000;
   220    1.948              -1               0          0.0000;
   221    1.957              -1               0          0.0000;
   222    1.966              -1               0          0.0000;
   223    1.974              -1               0          0.0000;
   224    1.983              -1               0          0.0000;
   225    1.992              -1               0          0.0000;
   226    2.001              -1               0          0.0000;
   227    2.010              -1               0          0.0000;
   228    2.019              -1               0          0.0000;
   229    2.028              -1               0          0.0000;
   230    2.036              -1               0          0.0000;
   231    2.045              -1               0          0.0000;
   232    2.054              -1               0          0.0000;
   233    2.063              -1               0          0.0000;
   234    2.072              -1               0          0.0000;
   235    2.081              -1               0          0.0000;
   236    2.090              -1               0          0.0000;
   237    2.098              -1               0          0.0000;
   238    2.107              -1               0          0.0000;
   239    2.116              -1               0          0.0000;
   240    2.125              -1               0          0.0000;
   241    2.134              -1               0          0.0000;
   242    2.143              -1               0          0.0000;
   243    2.152              -1               0          0.0000;
   244    2.160              -1               0          0.0000;
   245    2.169              -1               0          0.0000;
   246    2.178              -1               0          0.0000;
   247    2.187              -1               0          0.0000;
   248    2.196              -1               0          0.0000;
   249    2.205              -1               0          0.0000;
   250    2.214              -1               0          0.0000;
   251    2.222              -1               0          0.0000;
   252    2.231              -1               0          0.0000;
   253    2.240              -1               0          0.0000;
   254    2.249              -1               0          0.0000;
   255    2.258              -1               0          0.0000;
   256    2.267              -1               0          0.0000;
   257    2.276              -1               0          0.0000;
   258    2.284              -1               0          0.0000;
   259    2.293              -1               0          0.0000;
   260    2.302              -1               0          0.0000;
   261    2.311              -1               0          0.0000;
   262    2.320              -1               0          0.0000;
   263    2.329              -1               0          0.0000;
   264    2.338              -1               0          0.0000;
   265    2.346              -1               0          0.0000;
   266    2.355              -1               0          0.0000;
   267    2.364              -1               0          0.0000;
   268    2.373              -1               0          0.0000;
   269    2.382              -1               0          0.0000;
   270    2.391              -1               0          0.0000;
   271    2.399              -1               0          0.0000;
   272    2.408              -1               0          0.0000;
   273    2.417              -1               0          0.0000;
   274    2.426              -1               0          0.0000;
   275    2.435              -1               0          0.0000;
   276    2.444              -1               0          0.0000;
   277    2.453              -1               0          0.0000;
   278    2.461              -1               0          0.0000;
   279    2.470              -1               0          0.0000;
   280    2.479              -1               0          0.0000;
   281    2.488              -1               0          0.0000;
   282    2.497              -1               0          0.0000;
   283    2.506              -1               0          0.0000;
   284    2.515              -1               0          0.0000;
   285    2.523              -1               0          0.0000;
   286    2.532              -1               0          0.0000;
   287    2.541              -1               0          0.0000;
   288    2.550              -1               0          0.0000;
   289    2.559              -1               0          0.0000;
   290    2.568              -1               0          0.0000;
   291    2.577              -1               0          0.0000;
   292    2.585              -1               0          0.0000;
